0050,元大台灣50,141.8,141.75
0051,元大中型100,59,58.85
0052,富邦科技,131.25,131.25
0053,元大電子,68.4,68.55
0054,元大台商50,30.67,30.6
0055,元大MSCI金融,23.76,23.76
0056,元大高股息,32.47,32.46
0057,富邦摩台,97.45,97.45
0061,元大寶滬深,22.45,22.42
006203,元大MSCI台灣,68.05,67.85
006204,永豐臺灣加權,88.5,88.55
006205,富邦上証,36.52,36.52
006206,元大上證50,35.09,35.08
006207,FH滬深,29.49,29.46
006208,富邦台50,79.9,79.9
00625K,富邦上証+R,--,8.4
00631L,元大台灣50正2,137.25,137.2
00632R,元大台灣50反1,5.31,5.31
00633L,富邦上証正2,53.4,53.4
00634R,富邦上証反1,4.01,4
00635U,期元大S&P黃金,23.62,23.62
00636,國泰中國A50,24.62,24.62
00636K,國泰中國A50+U,8.86,--
00637L,元大滬深300正2,21.22,21.22
00638R,元大滬深300反1,8.27,8.26
00639,富邦深100,16.57,16.57
00640L,富邦日本正2,28.13,28.1
00641R,富邦日本反1,10.4,10.39
00642U,期元大S&P石油,11.7,11.7
00643,群益深証中小,18.9,18.86
00643K,群益深証中小+R,--,4.33
00645,富邦日本,25.51,25.5
00646,元大S&P500,38.78,38.77
00647L,元大S&P500正2,72.35,72.35
00648R,元大S&P500反1,6.68,6.67
00650L,FH香港正2,20.79,20.78
00651R,FH香港反1,7.93,7.93
00652,富邦印度,28.7,28.7
00653L,富邦印度正2,44.47,44.45
00654R,富邦印度反1,8.33,8.32
00655L,國泰中國A50正2,40.28,40.28
00656R,國泰中國A50反1,7.56,7.54
00657,國泰日經225,33.57,33.48
00657K,國泰日經225+U,12.11,12.05
00660,元大歐洲50,29.4,29.4
00661,元大日經225,34.88,34.83
00662,富邦NASDAQ,57.15,57.1
00663L,國泰臺灣加權正2,124.15,124.15
00664R,國泰臺灣加權反1,6.01,6.01
00665L,富邦琤肭磪囓2,15.1,15.1
00666R,富邦琤肭磪齯1,13.16,13.06
00668,國泰美國道瓊,34.65,34.64
00668K,國泰美國道瓊+U,12.48,12.43
00669R,國泰美國道瓊反1,7.96,7.96
00670L,富邦NASDAQ正2,121.2,121.15
00671R,富邦NASDAQ反1,5,5
00673R,期元大S&P原油反1,15.37,15.36
00674R,期元大S&P黃金反1,13.24,13.23
00675L,富邦臺灣加權正2,53.5,53.4
00676R,富邦臺灣加權反1,3.29,3.28
00678,群益NBI生技,26.59,26.59
00680L,元大美債20正2,26.5,26.47
00681R,元大美債20反1,12.8,12.79
00682U,期元大美元指數,18.91,18.91
00683L,期元大美元指正2,18.54,18.53
00684R,期元大美元指反1,--,17.84
00685L,群益臺灣加權正2,46.73,46.89
00686R,群益臺灣加權反1,3.58,3.57
00688L,國泰20年美債正2,26.5,26.4
00689R,國泰20年美債反1,13.43,13.42
00690,兆豐藍籌30,33.3,33.26
00692,富邦公司治理,35.08,35.08
00693U,期街口S&P黃豆,19.5,19.49
00700,富邦琤肭磪,15.22,15.18
00701,國泰股利精選30,26.19,26.19
00702,國泰標普低波高息,19.15,19.12
00703,台新MSCI中國,19.69,19.67
00706L,期元大S&P日圓正2,14.89,14.85
00707R,期元大S&P日圓反1,--,20.2
00708L,期元大S&P黃金正2,25.32,25.3
00709,富邦歐洲,23.02,23.03
00710B,FH彭博高收益債,17.84,17.83
00711B,FH彭博新興債,20.12,20.12
00712,FH富時不動產,13.4,13.4
00713,元大台灣高息低波,41.92,41.9
00714,群益道瓊美國地產,21.78,21.77
00715L,期街口布蘭特正2,8.15,8.15
00717,富邦美國特別股,16.46,16.45
00728,第一金工業30,30.05,30.04
00730,富邦臺灣優質高息,19.35,19.34
00731,FH富時高息低波,57.6,57.55
00732,國泰RMB短期報酬,40.13,39.99
00733,富邦臺灣中小,40.75,40.73
00735,國泰臺韓科技,32.75,32.65
00736,國泰新興市場,21.93,21.93
00737,國泰AI+Robo,32.83,32.84
00738U,期元大道瓊白銀,22.78,22.77
00739,元大MSCI A股,27.97,27.93
00742,新光內需收益,23.12,23.18
00743,國泰中國A150,29.46,29.42
00752,中信中國50,22.65,22.65
00753L,中信中國50正2,23.2,23.18
00757,統一FANG+,51.7,51.65
00762,元大全球AI,44.31,44.3
00763U,期街口道瓊銅,27.52,27.52
00770,國泰北美科技,39.3,39.26
00771,元大US高息特別股,18.67,18.67
00774B,新光中國政金綠債,40.15,39.9
00774C,新光中政金綠債+R,--,9.2
00775B,新光投等債15+,42.25,42.12
00783,富邦中証500,24.31,24.29
008201,BP上證50,--,115.9
00830,國泰費城半導體,33.75,33.75
00850,元大臺灣ESG永續,34.94,34.94
00851,台新全球AI,35.65,35.68
00852L,國泰美國道瓊正2,20.46,20.45
00861,元大全球未來通訊,30.48,30.48
00865B,國泰US短期公債,--,36.18
00875,國泰網路資安,30.03,30.03
00876,元大未來關鍵科技,32.36,32.36
00878,國泰永續高股息,18.55,18.55
00881,國泰台灣5G+,18.35,18.34
00882,中信中國高股息,13.77,13.77
00885,富邦越南,17.79,17.79
00891,中信關鍵半導體,16.96,16.96
00892,富邦台灣半導體,16.72,16.71
00893,國泰智能電動車,17.7,17.7
00894,中信小資高價30,15.75,15.75
00895,富邦未來車,18.52,18.51
00896,中信綠能及電動車,15,15
00897,富邦基因免疫生技,13.52,13.51
00898,國泰基因免疫革命,9.53,9.53
01001T,土銀富邦R1,17.73,17.73
01002T,土銀國泰R1,18.01,18
01003T,兆豐新光R1,19.92,19.73
01004T,土銀富邦R2,15.71,15.65
01007T,兆豐國泰R2,19.78,19.68
01009T,王道圓滿R1,9.1,9.08
01010T,京城樂富R1,10.29,10.27
020000,富邦特選蘋果N,7.01,7.02
020002,元富新中國N,--,15.67
020004,兆豐電菁英30N,--,33.31
020006,永昌中小300N,--,34.77
020007,凱基臺灣500N,--,35.01
020008,元大特股高息N,12.74,12.73
020011,統一微波高息20N,--,6.81
020012,富邦行動通訊N,6.46,6.44
020015,統一MSCI美低波N,--,15.1
020016,統一MSCI美科技N,21.4,21.39
020018,統一價值成長30N,18.53,18.53
020019,統一特選台灣5GN,15.25,15.23
02001L,富邦蘋果正二N,10.42,10.45
02001R,富邦蘋果反一N,3.05,3.04
020020,元大台股領航N,7.49,7.49
020022,元大電動車N,5.42,5.41
020028,元大特選電動車N,5.23,5.22
020029,元大ESG高股息N,5.37,5.36
020030,統一智慧電動車N,5.1,5.09
1101,台泥,46.3,46.3
1101B,台泥乙特,--,51.8
1102,亞泥,42.4,42.35
1103,嘉泥,20.35,20.3
1104,環泥,21.3,21.3
1108,幸福,11.45,11.45
1109,信大,19.9,19.9
1110,東泥,19.65,19.6
1201,味全,22.1,22.1
1203,味王,33,32.9
1210,大成,52,52
1213,大飲,8.32,8.11
1215,卜蜂,80.1,80
1216,統一,67.7,67.7
1217,愛之味,10.25,10.25
1218,泰山,26.9,26.9
1219,福壽,20.35,20.35
1220,台榮,15.2,15.2
1225,福懋油,50.3,50.3
1227,佳格,51.1,51.1
1229,聯華,57.2,57.1
1231,聯華食,68.3,68.3
1232,大統益,161.5,161.5
1233,天仁,34.1,33.85
1234,黑松,35.2,35.1
1235,興泰,44.15,43.55
1236,宏亞,21.05,21
1256,鮮活果汁-KY,339,338
1301,台塑,103.5,103.5
1303,南亞,83.8,83.6
1304,台聚,31.35,31.3
1305,華夏,33.75,33.75
1307,三芳,20.5,20.5
1308,亞聚,37.3,37.3
1309,台達化,33.65,33.6
1310,台苯,17.3,17.3
1312,國喬,28.4,28.4
1312A,國喬特,35,34.95
1313,聯成,21,21
1314,中石化,12.55,12.55
1315,達新,66.7,66
1316,上曜,20.8,20.8
1319,東陽,33,33
1321,大洋,34.75,34.7
1323,永裕,35,34.9
1324,地球,10.9,10.85
1325,恆大,48.55,48.55
1326,台化,79.7,79.5
1337,再生-KY,7.08,7.08
1338,廣華-KY,51,51
1339,昭輝,34.1,34.05
1340,勝悅-KY,11.25,11.2
1341,富林-KY,67,66.7
1342,八貫,55.9,55.8
1402,遠東新,28.3,28.25
1409,新纖,19.6,19.6
1410,南染,37.15,36.9
1413,宏洲,10,10
1414,東和,17.6,17.6
1416,廣豐,11,11
1417,嘉裕,14.05,14.05
1418,東華,11,10.6
1419,新紡,43.85,43.7
1423,利華,19.7,19.65
1432,大魯閣,12.8,12.75
1434,福懋,28.9,28.85
1435,中福,27.75,27.7
1436,華友聯,53.5,53.4
1437,勤益控,25.4,25.3
1438,三地開發,29.95,29.9
1439,中和,23.95,23.95
1440,南紡,22.75,22.75
1441,大東,9.29,9.25
1442,名軒,23.45,23.4
1443,立益,16.8,16.55
1444,力麗,10.95,10.9
1445,大宇,15.6,15.6
1446,宏和,33.55,33.5
1447,力鵬,10,9.99
1449,佳和,15.1,15.05
1451,年興,20.35,20.3
1452,宏益,23,23
1453,大將,8.77,8.73
1454,台富,11.1,11
1455,集盛,16.1,16.05
1456,怡華,20.8,20.8
1457,宜進,17.8,17.8
1459,聯發,13.05,13.05
1460,宏遠,9.4,9.39
1463,強盛,14.9,14.8
1464,得力,15.3,15.25
1465,偉全,12.2,12.15
1466,聚隆,15.1,15.1
1467,南緯,13.8,13.8
1468,昶和,13.3,13.05
1470,大統新創,18.05,18
1471,首利,7.45,7.41
1472,三洋實業,33.3,33.1
1473,台南,17.9,17.7
1474,弘裕,14.9,14.9
1475,業旺,47.8,47.5
1476,儒鴻,581,581
1477,聚陽,239,238.5
1503,士電,53.1,53
1504,東元,30.3,30.3
1506,正道,12.8,12.8
1507,永大,64.5,64.4
1512,瑞利,3.7,3.7
1513,中興電,44.8,44.8
1514,亞力,23.35,23.35
1515,力山,62.8,62.8
1516,川飛,24,23.7
1517,利奇,26.6,26.6
1519,華城,35,35
1521,大億,41.6,41.4
1522,堤維西,19,19
1522A,堤維西甲特,43.9,43.85
1524,耿鼎,10.05,10.05
1525,江申,58.5,58.5
1526,日馳,48.35,48.3
1527,鑽全,41.8,41.75
1528,恩德,10.8,10.8
1529,樂士,19.6,19.55
1530,亞崴,33,32.7
1531,高林股,15.25,15.25
1532,勤美,32.3,32.25
1533,車王電,56.1,56
1535,中宇,39.3,39.35
1536,和大,90.9,90.9
1537,廣隆,138,138
1538,正峰,10.8,10.45
1539,巨庭,20.1,20.05
1540,喬福,14.75,14.7
1541,錩泰,43.2,42.6
1558,伸興,143,143
1560,中砂,88.7,88.7
1568,倉佑,20.85,20.85
1582,信錦,68.5,68.4
1583,程泰,61.5,61.6
1587,吉茂,25.15,25.15
1589,永冠-KY,61,60.6
1590,亞德客-KY,840,840
1597,直得,86.8,86.5
1598,岱宇,59.2,59.2
1603,華電,26.45,26.45
1604,聲寶,29.4,29.35
1605,華新,26.05,26
1608,華榮,21.3,21.3
1609,大亞,24.15,24.15
1611,中電,16.55,16.5
1612,宏泰,24.95,24.95
1614,三洋電,36,36.1
1615,大山,32,32
1616,億泰,11.65,11.65
1617,榮星,17.9,17.9
1618,合機,14.2,14.15
1626,艾美特-KY,19.25,19.2
1701,中化,22.6,22.55
1702,南僑,48.8,48.8
1707,葡萄王,161,161
1708,東鹼,35.55,35.55
1709,和益,22.6,22.6
1710,東聯,22.1,22.1
1711,永光,25.95,25.95
1712,興農,27.8,27.8
1713,國化,23.9,23.9
1714,和桐,11.6,11.55
1717,長興,36.15,36.1
1718,中纖,9.99,9.99
1720,生達,39.8,39.65
1721,三晃,29.1,29.1
1722,台肥,67.8,67.8
1723,中碳,113,113
1725,元禎,35.85,35.85
1726,永記,73.5,73
1727,中華化,52,51.8
1730,花仙子,63.6,63.6
1731,美吾華,18.95,18.9
1732,毛寶,33,32.95
1733,五鼎,23.85,23.85
1734,杏輝,28.7,28.7
1735,日勝化,18.05,18.05
1736,喬山,57.8,57.8
1737,臺鹽,33.2,33.2
1760,寶齡富錦,70.2,70.2
1762,中化生,65.9,65.4
1773,勝一,137.5,137.5
1776,展宇,21.3,21.3
1783,和康生,58,58
1786,科妍,50.2,49.55
1789,神隆,23.95,23.9
1795,美時,102,102
1802,台玻,26.35,26.35
1805,寶徠,13.75,13.55
1806,冠軍,11.25,11.2
1808,潤隆,59.1,59
1809,中釉,13.85,13.85
1810,和成,16,16
1817,凱撒衛,36.5,36.5
1903,士紙,65.9,65.9
1904,正隆,33.8,33.8
1905,華紙,23.5,23.5
1906,寶隆,19.9,19.9
1907,永豐餘,34.4,34.35
1909,榮成,24.55,24.5
2002,中鋼,33.9,33.85
2002A,中鋼特,52.2,52
2007,燁興,20.8,20.8
2008,高興昌,19.5,19.4
2009,第一銅,42.9,42.85
2010,春源,22,22
2012,春雨,29.95,29.95
2013,中鋼構,54.3,54.3
2014,中鴻,36.2,36.15
2015,豐興,78.7,78.7
2017,官田鋼,19.9,19.9
2020,美亞,31.95,31.95
2022,聚亨,13.7,13.7
2023,燁輝,24,23.9
2024,志聯,19.95,19.95
2025,千興,5.3,5.3
2027,大成鋼,46.3,46.25
2028,威致,41.05,41.05
2029,盛餘,32.3,32.3
2030,彰源,30.55,30.55
2031,新光鋼,57.3,57.3
2032,新鋼,23.25,23.2
2033,佳大,17.25,17.15
2034,允強,31.6,31.55
2038,海光,34.6,34.6
2049,上銀,285,285
2059,川湖,470,470
2062,橋椿,27.1,27.1
2069,運錩,35.1,35.1
2101,南港,38.5,38.25
2102,泰豐,27.4,27.35
2103,台橡,32.7,32.7
2104,國際中橡,25.4,25.4
2105,正新,34.1,34.05
2106,建大,29.7,29.65
2107,厚生,22.65,22.6
2108,南帝,85.2,85.2
2109,華豐,16.45,16.35
2114,鑫永銓,118,117.5
2115,六暉-KY,39.35,39.3
2201,裕隆,41.3,41.25
2204,中華,65,65
2206,三陽工業,26.15,26.15
2207,和泰車,624,620
2208,台船,21.85,21.85
2211,長榮鋼,52.7,52.7
2227,裕日車,247,247
2228,劍麟,67,67
2231,為升,179,178.5
2233,宇隆,94.8,94.8
2236,百達-KY,26.4,26.4
2239,英利-KY,81.2,81.2
2241,艾姆勒,51.3,51.2
2243,宏旭-KY,18.25,18.25
2247,汎德永業,209.5,209.5
2250,IKKA-KY,106.5,106.5
2301,光寶科,60.5,60.5
2302,麗正,17.05,17.05
2303,聯電,66.7,66.7
2305,全友,8.81,8.81
2308,台達電,261.5,261
2312,金寶,13.05,13.05
2313,華通,40.55,40.55
2314,台揚,77,77
2316,楠梓電,29.2,29.05
2317,鴻海,105,105
2321,東訊,--,6.15
2323,中環,8.94,8.93
2324,仁寶,23.35,23.35
2327,國巨,465,464.5
2328,廣宇,37.85,37.85
2329,華泰,25.55,25.55
2330,台積電,615,614
2331,精英,23.35,23.35
2332,友訊,18.1,18.1
2337,旺宏,42.55,42.55
2338,光罩,99.6,99.6
2340,光磊,58.9,58.8
2342,茂矽,48.4,48.35
2344,華邦電,31.75,31.75
2345,智邦,284,284
2347,聯強,59.5,59.4
2348,海悅,103,103
2348A,海悅甲特,37.7,37.65
2349,錸德,9.15,9.15
2351,順德,155,155
2352,佳世達,29.25,29.25
2353,宏,28.1,28.1
2354,鴻準,64.3,64.2
2355,敬鵬,36.25,36.25
2356,英業達,25.55,25.5
2357,華碩,363.5,363.5
2358,廷鑫,21.4,21.35
2359,所羅門,17.25,17.2
2360,致茂,181,180.5
2362,藍天,31.3,31.3
2363,矽統,26.05,26.05
2364,倫飛,20.45,20.1
2365,昆盈,10.85,10.8
2367,燿華,18.35,18.35
2368,金像電,73.4,73.4
2369,菱生,26.95,26.9
2371,大同,34,33.95
2373,震旦行,89.6,89.6
2374,佳能,23.05,23.05
2375,凱美,113,113
2376,技嘉,136.5,136.5
2377,微星,161,161
2379,瑞昱,554,553
2380,虹光,13.2,13.2
2382,廣達,87.9,87.9
2383,台光電,269,268.5
2385,群光,80.9,80.8
2387,精元,45.9,45.85
2388,威盛,87.6,87.6
2390,云辰,21.1,21.1
2392,正崴,38,38
2393,億光,51,50.9
2395,研華,379.5,379.5
2397,友通,58.2,57.9
2399,映泰,23.2,23.2
2401,凌陽,40.3,40.25
2402,毅嘉,16.45,16.45
2404,漢唐,179,178.5
2405,浩鑫,13,12.95
2406,國碩,24.75,24.7
2408,南亞科,79.8,79.7
2409,友達,20.5,20.5
2412,中華電,114,113.5
2413,環科,22.3,22.3
2414,精技,38.95,38.95
2415,錩新,46.8,46.8
2417,圓剛,24.7,24.7
2419,仲琦,24.4,24.4
2420,新巨,45.9,45.9
2421,建準,41.8,41.8
2423,固緯,28.15,28.15
2424,隴華,21.6,21.15
2425,承啟,27.3,27.3
2426,鼎元,27.65,27.65
2427,三商電,11.05,11
2428,興勤,150,150
2429,銘旺科,25,24.95
2430,燦坤,40.3,40.25
2431,聯昌,12.9,12.9
2433,互盛電,51.4,51.1
2434,統懋,39.5,40.4
2436,偉詮電,96,96
2438,翔耀,13.95,13.95
2439,美律,96,95.9
2440,太空梭,16.35,16.3
2441,超豐,78.2,78.1
2442,新美齊,11.25,11.25
2443,億麗,2.97,2.97
2444,兆勁,11.85,11.85
2449,京元電子,43.7,43.7
2450,神腦,33.1,32.95
2451,創見,69.8,69.8
2453,凌群,26.4,26.4
2454,聯發科,"1,080.00","1,075.00"
2455,全新,144.5,144
2456,奇力新,91.4,91.4
2457,飛宏,35.65,35.65
2458,義隆,161,161
2459,敦吉,58.8,58.8
2460,建通,26.75,26.75
2461,光群雷,22.7,22.7
2462,良得電,27.75,27.75
2464,盟立,41.95,41.95
2465,麗臺,74.4,74.4
2466,冠西電,36.2,36.05
2467,志聖,50.7,50.6
2468,華經,13.1,13.05
2471,資通,25.05,25.05
2472,立隆電,68.6,68.6
2474,可成,149,149
2476,鉅祥,60.7,60.7
2477,美隆電,31.1,31.1
2478,大毅,66.3,66.3
2480,敦陽科,72,71.9
2481,強茂,107,107
2482,連宇,14.2,14.2
2483,百容,23.75,23.7
2484,希華,40.25,40.25
2485,兆赫,20.8,20.75
2486,一詮,53.6,53.5
2488,漢平,27.05,27.05
